count,timestamp,execution_id,log,retries,execution_time
0,2024-11-11T09:01:49.294289+00:00,0u617zced0yt,Execution finished,0,235.0
1,2024-11-11T09:01:49.687004+00:00,0u61m226nv4z,Execution finished,0,378.0
2,2024-11-11T09:01:59.580606+00:00,0u61qa0sh9t1,Execution finished,0,229.0
3,2024-11-11T09:01:59.988199+00:00,0u61ttbb3ysl,Execution finished,0,235.0
4,2024-11-11T09:02:09.987493+00:00,0u61tv9tbumg,Execution finished,0,370.0
5,2024-11-11T09:02:10.395508+00:00,dn4m15bzhtqj,Execution finished,0,294.0
6,2024-11-11T09:02:20.348097+00:00,dn4m0am4uryz,Execution finished,0,319.0
7,2024-11-11T09:02:20.741606+00:00,dn4ml7p3bew4,Execution finished,0,304.0
8,2024-11-11T09:02:30.656499+00:00,dn4mrlsi3gf2,Execution finished,0,264.0
9,2024-11-11T09:02:31.063139+00:00,dn4mf23wrj3x,Execution finished,0,293.0
10,2024-11-11T09:02:41.076731+00:00,0u61z5nr7pex,Execution finished,0,355.0
11,2024-11-11T09:02:41.450090+00:00,dn4muy2gllw3,Execution finished,0,341.0
12,2024-11-11T09:02:51.351935+00:00,dn4mjreedaa9,Execution finished,0,247.0
13,2024-11-11T09:02:51.789489+00:00,0u61sva7t4kw,Execution finished,0,305.0
14,2024-11-11T09:03:01.679458+00:00,0u61076qgb4r,Execution finished,0,279.0
15,2024-11-11T09:03:02.090542+00:00,0u61e1mo6o1i,Execution finished,0,267.0
16,2024-11-11T09:03:12.176639+00:00,0u61t1ucgngt,Execution finished,0,431.0
17,2024-11-11T09:03:12.587621+00:00,0u6161itpodf,Execution finished,0,394.0
18,2024-11-11T09:03:22.580304+00:00,0u61ajppstzx,Execution finished,0,375.0
19,2024-11-11T09:03:22.963659+00:00,dn4mbs60ev5o,Execution finished,0,323.0
20,2024-11-11T09:03:32.883814+00:00,0u61xy9mo7c9,Execution finished,0,276.0
21,2024-11-11T09:03:33.279136+00:00,0u61uujhtj8o,Execution finished,0,289.0
22,2024-11-11T09:03:43.185227+00:00,0u612shzt2eo,Execution finished,0,272.0
23,2024-11-11T09:03:43.644053+00:00,dn4mis34x6ap,Execution finished,0,335.0
24,2024-11-11T09:03:53.545933+00:00,dn4mgifpt9p3,Execution finished,0,329.0
25,2024-11-11T09:03:53.982103+00:00,0u61t536j9qz,Execution finished,0,283.0
26,2024-11-11T09:04:03.859967+00:00,dn4meveihprl,Execution finished,0,285.0
27,2024-11-11T09:04:04.389046+00:00,0u61dx4chewt,Execution finished,0,345.0
28,2024-11-11T09:04:14.186055+00:00,0u61n7a9vc8x,Execution finished,0,297.0
29,2024-11-11T09:04:14.755142+00:00,dn4mqrk0xf83,Execution finished,0,338.0
30,2024-11-11T09:04:24.502801+00:00,0u61lvee1d7c,Execution finished,0,278.0
31,2024-11-11T09:04:25.180030+00:00,0u61z52hfo43,Execution finished,0,395.0
32,2024-11-11T09:04:34.843545+00:00,dn4m8vufuhh0,Execution finished,0,314.0
33,2024-11-11T09:04:35.543336+00:00,dn4m72b2o2we,Execution finished,0,331.0
34,2024-11-11T09:04:45.188432+00:00,0u61fvx8m3ey,Execution finished,0,300.0
35,2024-11-11T09:04:45.948654+00:00,dn4m8s0hm6b2,Execution finished,0,375.0
36,2024-11-11T09:04:55.483829+00:00,0u61c7xtb8wu,Execution finished,0,216.0
37,2024-11-11T09:04:56.284911+00:00,0u61nx1gjxq7,Execution finished,0,306.0
38,2024-11-11T09:05:05.858918+00:00,dn4m855gbb1k,Execution finished,0,247.0
39,2024-11-11T09:05:06.598572+00:00,0u61grp59wen,Execution finished,0,282.0
40,2024-11-11T09:05:16.357191+00:00,dn4m32si58hp,Execution finished,0,401.0
41,2024-11-11T09:05:17.044073+00:00,dn4mpmj3ioao,Execution finished,0,366.0
42,2024-11-11T09:05:26.745946+00:00,dn4mghgbptel,Execution finished,0,347.0
43,2024-11-11T09:05:27.476661+00:00,dn4m99vuyjmf,Execution finished,0,400.0
44,2024-11-11T09:05:37.241593+00:00,dn4me8npu1xq,Execution finished,0,398.0
45,2024-11-11T09:05:37.847350+00:00,dn4mozqhor1o,Execution finished,0,342.0
46,2024-11-11T09:05:47.682720+00:00,dn4mxgawoume,Execution finished,0,386.0
47,2024-11-11T09:05:48.294824+00:00,dn4mqlyfeodq,Execution finished,0,393.0
48,2024-11-11T09:05:57.984027+00:00,0u613svtunxn,Execution finished,0,267.0
49,2024-11-11T09:05:58.752498+00:00,dn4mwum8sov0,Execution finished,0,404.0
50,2024-11-11T09:06:08.384459+00:00,0u61ovnnxvzs,Execution finished,0,373.0
51,2024-11-11T09:06:09.284798+00:00,0u618qk0z9us,Execution finished,0,385.0
52,2024-11-11T09:06:18.807108+00:00,0u61fvc0fsfw,Execution finished,0,393.0
53,2024-11-11T09:06:19.684946+00:00,0u61oiuhrp1p,Execution finished,0,341.0
54,2024-11-11T09:06:29.198811+00:00,0u61q92lefmv,Execution finished,0,333.0
55,2024-11-11T09:06:30.147555+00:00,dn4m7j9kdsu5,Execution finished,0,351.0
56,2024-11-11T09:06:39.546883+00:00,dn4m3jvusr9q,Execution finished,0,312.0
57,2024-11-11T09:06:40.558238+00:00,dn4mfrdxcjyz,Execution finished,0,324.0
